Mario Kart 8 Deluxe
Animal Crossing: New Horizons
Super Smash Bros. Ultimate
The Legend of Zelda: Breath of the Wild
Pokemon Sword
Pokemon Shield
Super Mario Odyssey
Super Mario Party
Pokemon Brilliant Diamond
Pokemon Shining Pearl
Ring Fit Adventure
New Super Mario Bros. U Deluxe
Splatoon 2
Luigi's Mansion 3
Super Mario 3D All-Stars
Super Mario 3D World + Bowser's Fury
Monster Hunter Rise
Super Mario Maker 2
Pokemon Legends: Arceus
The Legend of Zelda: Link's Awakening
Mario Party Superstars
Hyrule Warriors: Age of Calamity
The Legend of Zelda: Skyward Sword HD
Among Us
1-2-Switch
Clubhouse Games: 51 Worldwide Classics
Paper Mario: The Origami King
Mario Tennis Aces
Kirby Star Allies
Fire Emblem: Three Houses
Minecraft
Metroid Dread
New Pokemon Snap
Donkey Kong Country: Tropical Freeze
Arms
Mario Golf: Super Rush
Pikmin 3 Deluxe
Mario + Rabbids Kingdom Battle
Xenoblade Chronicles 2
Yoshi's Crafted World
Miitopia
Xenoblade Chronicles: Definitive Edition
Octopath Traveler
Captain Toad: Treasure Tracker
Pokken Tournament DX
Nintendo Labo Toy-Con 01: Variety Kit
Big Brain Academy: Brain vs. Brain
Mario Kart Live: Home Circuit
Pokemon Mystery Dungeon: Rescue Team DX
WarioWare: Get It Together!
Astral Chain
Marvel Ultimate Alliance 3: The Black Order
Game Builder Garage
Enter the Gungeon
Fitness Boxing
Fitness Boxing 2: Rhythm and Exercise
Story of Seasons: Pioneers of Olive Town
Taiko no Tatsujin: Drum 'n' Fun!
Thief Simulator
